número CNJ;tribunal;classe;data de ajuizamento;suscitante;suscitado(s);tipo (greve, econômico, jurídico, revisional);relator;situação/resultado (acordo, sentença normativa, extinto, pendente);ano de vigência do ACT/DC;fonte (URL);nível de confiança (confirmado em fonte primária / só notícia / não verificado)
1001132-21.2021.5.00.0000;TST;Dissídio Coletivo (DC);;CONFEDERACAO NACIONAL DOS TRABALHADORES DO RAMO FINANCEIRO;BANCO DA AMAZONIA AS Afa/jac D E S P A C H O Trata-se de Dissídio Coletivo de natureza econômica suscitado pela Confederação Nacional dos Trabalhadores do Ramo Financeiro distribuído ao Exmo. Ministro Vice-Presidente desta Corte, em 5/8/202...;Econômico;Maria Cristina Irigoyen Peduzzi;Extinto sem Resolução de Mérito;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10011322120215000000;confirmado em fonte primária
1001446-64.2021.5.00.0000;TST;Dissídio Coletivo (DC);2023-05-15;SINDICATO DOS PETROLEIROS DO LITORAL PAULISTA;PETROLEO BRASILEIRO S A PETROBRAS;Econômico;Alexandre De Souza Agra Belmonte;Sentença Normativa (Procedente);2020/2022;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10014466420215000000;confirmado em fonte primária
1004893-06.2021.5.02.0000;TRT-02 (SP);Recurso Ordinário Trabalhista (ROT);2022-09-12;Entidade Sindical Profissional;s PETROLEO BRASILEIRO S;Greve;Delaide Alves Miranda Arantes;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0000042-50.2020.5.10.0000;TRT-10 (DF/TO);Recurso Ordinário Trabalhista (ROT);2021-06-14;SINDICATO DOS TRABALHADORES DA TELEBRAS;Telebras;Econômico;Ives Gandra Martins Filho;Sentença Normativa (Procedente);;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0080430-04.2020.5.22.0000;TRT-22 (PI);Recurso Ordinário Trabalhista (ROT);2023-12-11;Suscita o sindicato que a presente clausula tem por objetivo fortalecer o reconhecimento da entidade representativa de seus trabalhadores. Impugnação da;empresa alega que somente poderá reconhecer a legitimidade dos sindicatos se estes forem regularmente registrados junto ao extinto Ministério do Trabalho e Emprego (atual Ministério da Economia) e atenderem as normas legais como exigências ...;Econômico;Mauricio Godinho Delgado;Acordo Homologado;2020/2022;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0103202-43.2020.5.01.0000;TRT-01 (RJ);Recurso Ordinário Trabalhista (ROT);2022-11-21;Sindicato dos Trabalhadores na Indústria De Energia Elétrica nos Municípios de Parati e Angra dos Reis;Eletrobras Termonuclear S;Econômico;Mauricio Godinho Delgado;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000110-59.2020.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO NACIONAL DOS TRABALHADORES NA INDUSTRIA MOEDEIRA;CASA DA MOEDA DO BRASIL CMB;Econômico;Luiz Philippe Vieira De Mello Filho;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10001105920205000000;confirmado em fonte primária
1003302-43.2020.5.02.0000;TRT-02 (SP);Recurso Ordinário Trabalhista (ROT);;Entidade Sindical Profissional;FURNAS-CENTRAIS ELÉTRICAS S;Econômico;Delaide Alves Miranda Arantes;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1005229-44.2020.5.02.0000;TRT-02 (SP);Recurso Ordinário Trabalhista (ROT);2022-03-14;Entidade Sindical Profissional;FURNAS-CENTRAIS ELÉTRICAS S;Econômico;Katia Magalhaes Arruda;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
0000373-66.2019.5.10.0000;TRT-10 (DF/TO);Recurso Ordinário Trabalhista (ROT);;Entidade Sindical Profissional;COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL - METRÔ;Greve;Dora Maria Da Costa;Extinto sem Resolução de Mérito;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000048-53.2019.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO NACIONAL DOS TRABALHADORES NA INDÚSTRIA MOEDEIRA;CASA DA MOEDA DO BRASIL - CMB GMRLP/rnp/mm D E S P A C H O Considerando a vontade dos representantes da parte suscitante, manifestada na reunião unilateral de trabalho e negociação ocorrida no dia 03 de setembro do corrente ano, declaro exa...;Econômico;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10000485320195000000;confirmado em fonte primária
1000215-70.2019.5.00.0000;TST;Dissídio Coletivo (DC);;ASSOCIACAO DOS EMPREGADOS PUBLICOS DA VALEC - AEPVALEC;VALEC ENGENHARIA CONSTRUCOES E FERROVIAS S/A - GMRLP/rnp/mm D E S P A C H O Designo audiência de conciliação voltada à assinatura de acordo coletivo de trabalho, para o dia 20/11/2019, às 09:00 horas , na Sala de Audiência de Conciliação do...;Econômico;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10002157020195000000;confirmado em fonte primária
1000321-32.2019.5.00.0000;TST;Dissídio Coletivo (DC);;FEDERACAO INTERES. DOS SIND. DOS TRAB. E TRAB. DA E. B. C. T. DOS EST. DA BA, MG, RJ, RN, RO, SP E TO;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS D E S P A C H O Analisando os autos, verifico que se trata de dissídio coletivo, no qual se formula pedido de liminar , com a concessão de provimento jurisdicional de urgência. Os autos foram enca...;Greve;Renato De Lacerda Paiva;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10003213220195000000;confirmado em fonte primária
